2361687452,"The last ut test of the QDQBert model ”test_inference_no_head_absolute_embedding” did not pass when using official safetensors"
2361619314,"ChatGLMForConditionalGeneration does not support Flash Attention 2.0 yet."
2361572201,"GenerationMixin sample() runs forever"
2361330356,"Add French version of run scripts tutorial"
2361240702,"Update beam_constraints with KMP"
2360829721,"Deprecate models - June 2024"
2360481678,"Quantized T5EncoderModel cannot be removed from VRAM on CUDA systems"
2359739676,"How do I replace a spare tokens?"
2359684102,"Quantization support for heads and embeddings"
2359440097,"FIX / Hub: Also catch for `exceptions.ConnectionError`"
2359405297,"Attention dropout causing problem in attention score distribution"
2359333676,"Gemma-7b model set my own lm_head but cannot saved and changed pretrained embedding_layer's weights too."
2359280222,"Mixtral's implementation of auxiliary loss seems incorrect"
2359176824,"add changes in mistral model to avoid problems in pytorch hooks"
2358743023,"A parameter in TrainingArguments: sample_output=True"
2358729387,"linear_sum_assignment error in the object_detection.py guide"
2358678256,"cannot import name 'AutoModelForImageToImage' from 'transformers.models.auto.modeling_auto' (/opt/conda/lib/python3.10/site-packages/transformers/models/auto/modeling_auto.py)"
2358520214,"Bump scikit-learn from 1.0.2 to 1.5.0 in /examples/research_projects/decision_transformer"
2358406804,"Trainer having issues with DataLoaderShard when running with torchrun"
2357915218,"Can't create transformer pipeline because pytorch failed to be detected"
2357838035,"How to build and evaluate a vanilla transformer?"
