id,title
31540,"Batch Generation giving different output when using batch size > 1 or when using padding in MambaForCausalLM"
31538,"fix wav2vec2 with torch.compile"
31537,"Sink cache: fix generate from cache"
31534,"Chameleon: add model"
31533,"HuggingFace GroundingDINO inference execution time is slower than the original groundingDINO (~100ms)"
31531,"Source link to `LlamaForSequenceClassification` seems broken, if so, update it."
31529,"Potential Bug in llava_next when calling pack_image_features function."
31528,"Error on fine tuning paligemma for object detection"
31527,"GGML (GGUF) Llama3 unit test fails"
31525,"Support deepspeed sequence parallel"
31522,"Depth Anything: update conversion script for V2"
31521,"Sequence Length Invariant Text Models"
31520,"Fix mininal version check for object_detection.md"
31518,"Cohere: Use `diff` instead of `Copied from` mechanism"
31515,"from_pretrained 加载checkpoint过慢的问题"
31514,"add gather_use_object arguments"
31512,"add bnb support for Ascend NPU"
31509,"Check diff files in `check_copies`"
31508,"如果在单个GPU上out of memory 如何用两个GPU加载推理同一个模型？"
31507,"load qwen2-72b-instruct sft awq q4_0 gguf ValueError: Trying to set a tensor of shape torch.Size"
31506,"Add Florence2 support"
31505,"Meta FAIR Chameleon 7b and 30b"
31504,"RuntimeError: Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cuda:1! (HF/Accelerate)"
31502,"Granite language models [WIP]"
31501,"FineWeb SLM Training doesn't start"
31500,"MixtralFlashAttention2: put ""plus 1"" inside parentheses when calculating rotary_seq_len, allowing None position_ids input."
31499,"Add FA2 and `sdpa` support for SigLIP"
31498,"RecurrentGemma: add generative tests"
31497,"will this be a model or just a tokenizer/embeddings ? technically a sentence trancformer ?"
31495,"Add training support for SigLIP"
31494,"[WIP] - Add Descript-Audio-Codec model"
31492,"ImportError: cannot import name 'logging' from 'huggingface_hub'"
31487,"run_clm.py AttributeError: 'NoneType' object has no attribute 'get'"
31486,"The last ut test of the QDQBert model ”test_inference_no_head_absolute_embedding” did not pass when using official safetensors"
31485,"ChatGLMForConditionalGeneration does not support Flash Attention 2.0 yet."
31484,"GenerationMixin sample() runs forever"
31483,"Add French version of run scripts tutorial"
31482,"Update beam_constraints with KMP"
31481,"Deprecate models - June 2024"
31479,"Quantized T5EncoderModel cannot be removed from VRAM on CUDA systems"
31475,"How do I replace a spare tokens?"
31474,"Quantization support for heads and embeddings"
31469,"FIX / Hub: Also catch for `exceptions.ConnectionError`"
31468,"Attention dropout causing problem in attention score distribution"
31467,"Gemma-7b model set my own lm_head but cannot saved and changed pretrained embedding_layer's weights too."
31464,"Mixtral's implementation of auxiliary loss seems incorrect"
31463,"add changes in mistral model to avoid problems in pytorch hooks"
31462,"A parameter in TrainingArguments: sample_output=True"
31461,"linear_sum_assignment error in the object_detection.py guide"
31460,"cannot import name 'AutoModelForImageToImage' from 'transformers.models.auto.modeling_auto' (/opt/conda/lib/python3.10/site-packages/transformers/models/auto/modeling_auto.py)"
31458,"Bump scikit-learn from 1.0.2 to 1.5.0 in /examples/research_projects/decision_transformer"
31457,"Trainer having issues with DataLoaderShard when running with torchrun"
31454,"Can't create transformer pipeline because pytorch failed to be detected"
31453,"How to build and evaluate a vanilla transformer?"
